Run,Degree,Measured,Calibration,Difference
1,232.999,3.853000,3.854000,-0.001000
1,234.000,3.854000,3.855000,-0.001000
1,235.001,3.855000,3.857000,-0.002000
1,236.002,3.855000,3.855000,0.000000
1,236.998,3.855000,3.855000,0.000000
1,237.999,3.855000,3.856000,-0.001000
1,239.001,3.855000,3.856000,-0.001000
1,240.002,3.856000,3.857000,-0.001000
1,240.997,3.856000,3.856000,0.000000
1,241.999,3.856000,3.857000,-0.001000
1,243.000,3.856000,3.858000,-0.002000
1,244.001,3.857000,3.858000,-0.001000
1,245.002,3.857000,3.858000,-0.001000
1,245.998,3.857000,3.857000,0.000000
1,246.999,3.858000,3.858000,0.000000
1,248.001,3.856000,3.858000,-0.002000
1,249.002,3.858000,3.859000,-0.001000
1,249.997,3.857000,3.858000,-0.001000
1,250.999,3.858000,3.858000,0.000000
1,252.000,3.857000,3.859000,-0.002000
1,253.001,3.858000,3.858000,0.000000
1,254.002,3.858000,3.858000,0.000000
1,254.998,3.858000,3.859000,-0.001000
1,255.999,3.858000,3.859000,-0.001000
1,257.001,3.858000,3.859000,-0.001000
1,258.002,3.858000,3.860000,-0.002000
1,258.997,3.859000,3.860000,-0.001000
1,259.999,3.859000,3.859000,0.000000
1,261.000,3.859000,3.860000,-0.001000
1,262.001,3.860000,3.861000,-0.001000
1,263.002,3.859000,3.860000,-0.001000
1,263.998,3.859000,3.859000,0.000000
1,264.999,3.859000,3.860000,-0.001000
1,266.001,3.859000,3.860000,-0.001000
1,267.002,3.859000,3.860000,-0.001000
1,267.997,3.858000,3.859000,-0.001000
1,268.999,3.858000,3.859000,-0.001000
1,270.000,3.858000,3.859000,-0.001000
1,271.001,3.859000,3.860000,-0.001000
1,272.002,3.858000,3.859000,-0.001000
1,272.998,3.859000,3.859000,0.000000
1,273.999,3.858000,3.859000,-0.001000
1,275.001,3.858000,3.859000,-0.001000
1,276.002,3.858000,3.859000,-0.001000
1,276.997,3.858000,3.859000,-0.001000
1,277.999,3.859000,3.859000,0.000000
1,279.000,3.859000,3.860000,-0.001000
1,280.001,3.859000,3.860000,-0.001000
1,281.002,3.860000,3.860000,0.000000
1,281.998,3.860000,3.860000,0.000000
1,282.999,3.860000,3.861000,-0.001000
1,284.001,3.861000,3.862000,-0.001000
1,285.002,3.861000,3.861000,0.000000
1,285.997,3.862000,3.862000,0.000000
1,286.999,3.861000,3.862000,-0.001000
1,288.000,3.861000,3.861000,0.000000
1,289.001,3.862000,3.862000,0.000000
1,290.002,3.861000,3.862000,-0.001000
1,290.998,3.861000,3.861000,0.000000
1,291.999,3.861000,3.862000,-0.001000
1,293.001,3.862000,3.862000,0.000000
1,294.002,3.860000,3.862000,-0.002000
1,294.997,3.862000,3.863000,-0.001000
1,295.999,3.861000,3.862000,-0.001000
1,297.000,3.860000,3.862000,-0.002000
1,298.001,3.861000,3.861000,0.000000
1,299.002,3.861000,3.861000,0.000000
1,299.998,3.859000,3.861000,-0.002000
1,300.999,3.859000,3.860000,-0.001000
1,302.001,3.859000,3.860000,-0.001000
1,303.002,3.859000,3.861000,-0.002000
1,303.997,3.859000,3.860000,-0.001000
1,304.999,3.858000,3.858000,0.000000
1,306.000,3.858000,3.858000,0.000000
1,307.001,3.857000,3.859000,-0.002000
1,308.002,3.856000,3.858000,-0.002000
1,308.998,3.855000,3.855000,0.000000
1,309.999,3.855000,3.855000,0.000000
1,311.001,3.853000,3.855000,-0.002000
1,312.002,3.854000,3.855000,-0.001000
1,312.997,3.852000,3.852000,0.000000
1,313.999,3.851000,3.852000,-0.001000
1,315.000,3.852000,3.852000,0.000000
1,316.001,3.851000,3.851000,0.000000
1,317.002,3.850000,3.850000,0.000000
1,317.998,3.849000,3.849000,0.000000
1,318.999,3.849000,3.849000,0.000000
1,320.001,3.848000,3.850000,-0.002000
1,321.002,3.848000,3.849000,-0.001000
1,321.997,3.847000,3.847000,0.000000
1,322.999,3.847000,3.847000,0.000000
1,324.000,3.845000,3.846000,-0.001000
1,325.001,3.845000,3.846000,-0.001000
1,326.002,3.845000,3.846000,-0.001000
1,326.998,3.844000,3.845000,-0.001000
1,327.999,3.843000,3.844000,-0.001000
1,329.001,3.844000,3.845000,-0.001000
1,330.002,3.843000,3.844000,-0.001000
1,330.997,3.843000,3.844000,-0.001000
1,331.999,3.843000,3.843000,0.000000
1,333.000,3.842000,3.842000,0.000000
1,334.001,3.842000,3.842000,0.000000
1,335.002,3.841000,3.842000,-0.001000
1,335.998,3.841000,3.842000,-0.001000
1,336.999,3.839000,3.840000,-0.001000
1,338.001,3.840000,3.841000,-0.001000
1,339.002,3.840000,3.841000,-0.001000
1,339.997,3.838000,3.839000,-0.001000
1,340.999,3.838000,3.838000,0.000000
1,342.000,3.838000,3.839000,-0.001000
1,343.001,3.838000,3.839000,-0.001000
1,344.002,3.837000,3.837000,0.000000
1,344.998,3.836000,3.837000,-0.001000
1,345.999,3.835000,3.836000,-0.001000
1,347.001,3.834000,3.835000,-0.001000
1,348.002,3.834000,3.835000,-0.001000
1,348.997,3.832000,3.833000,-0.001000
1,349.999,3.833000,3.834000,-0.001000
1,351.000,3.832000,3.833000,-0.001000
1,352.001,3.832000,3.833000,-0.001000
1,353.002,3.831000,3.832000,-0.001000
1,353.998,3.830000,3.831000,-0.001000
1,354.999,3.831000,3.831000,0.000000
1,356.001,3.830000,3.831000,-0.001000
1,357.002,3.830000,3.831000,-0.001000
1,357.997,3.829000,3.830000,-0.001000
1,358.999,3.829000,3.830000,-0.001000
